"Tag Code","Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Brood Year YYYY","Rear Type Code","Rear Type Name","First Obs Date Max","Last Obs Date Min"
"384.3B23997198","EHL - Entiat NFH Adult Ladder","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","08/01/2016","08/01/2016"
"384.3B2399856D","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B23999C6B","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B23999EA4","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B23999EA9","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","04/09/2014","04/09/2014"
"384.3B2399AC32","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B2399B8EA","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","04/10/2014","04/10/2014"
"384.3B2399C545","EHL - Entiat NFH Adult Ladder","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","08/19/2015","08/19/2015"
"384.3B2399C545","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","08/18/2015","08/18/2015"
"384.3B2399C962","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B2399D507","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B2399F0B4","EHL - Entiat NFH Adult Ladder","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","07/31/2016","07/31/2016"
"384.3B2399F0B4","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","07/16/2016","07/30/2016"
"384.3B239A0F38","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","04/11/2014","04/11/2014"
"384.3B239A15F9","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B239A1FF4","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B239A2184","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","08/20/2015","08/20/2015"
"384.3B239A270E","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","06/25/2015","06/25/2015"
"384.3B239A2731","EHL - Entiat NFH Adult Ladder","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","07/29/2017","07/31/2017"
"384.3B239A2731","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","07/12/2017","07/12/2017"
"384.3B239A29D7","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","08/21/2016","08/21/2016"
"384.3B239A37D3","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","04/10/2014","04/10/2014"
"384.3B239A3942","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","07/13/2017","10/13/2017"
"384.3B239A39DA","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B239A3AA0","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","04/11/2014","04/11/2014"
"384.3B239A421B","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B239A548C","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/18/2013","04/18/2013"
"384.3B239A5D72","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","06/06/2021","06/06/2021"
"384.3B239A5DC1","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","04/09/2014","04/09/2014"
"384.3B239A613D","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B239A629B","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","04/09/2014","04/09/2014"
"384.3B239A6B3C","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","08/31/2015","08/31/2015"
"384.3B239A6B4E","EHL - Entiat NFH Adult Ladder","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","08/01/2017","08/03/2017"
"384.3B239A6B4E","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","07/24/2017","07/24/2017"
"384.3B239A728F","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B239A72A2","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B239A7DB8","EHL - Entiat NFH Adult Ladder","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","07/14/2016","07/14/2016"
"384.3B239A7DB8","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","07/04/2016","07/04/2016"
"384.3B239A7FD7","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B239A86B7","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/17/2013","04/17/2013"
"384.3B239A8CE3","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","08/02/2016","08/02/2016"
"384.3B239A925B","ENL - Lower Entiat River","4/9/2014","1","Chinook","2","Summer","2012","H","Hatchery Reared","07/08/2017","07/08/2017"
"384.3B239A92AD","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/18/2013","04/18/2013"
"384.3B239A9304","ENL - Lower Entiat River","4/16/2013","1","Chinook","2","Summer","2011","H","Hatchery Reared","04/18/2013","04/18/2013"
