Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,RunSize,'Today'(03/21)Passage%
2023 YTD,,,,,,,,,,,,, (YTD),
Average (2013 - 2022),06/18,06/24,06/27,07/02,07/09,07/17,07/26,07/31,08/22,29.8,15.6,37.9,150.0,0.0%
Median (2013 - 2022),06/19,06/25,06/28,07/03,07/10,07/16,07/24,07/30,08/24,26,12.5,35,137.5,0.0%
2022,06/19,06/30,07/03,07/07,07/11,07/16,07/21,07/24,08/24,19,10,25,361,0.0%
2021,06/15,06/21,06/23,06/29,07/05,07/14,07/22,07/27,08/18,30,16,37,192,0.0%
2020,06/19,06/26,06/28,07/04,07/09,07/15,07/23,07/31,08/24,26,12,36,202,0.0%
2019,06/10,06/21,06/23,06/28,07/04,07/12,07/22,07/27,08/31,30,15,37,224,0.0%
2018,06/23,06/25,06/29,07/04,07/12,07/23,08/01,08/08,08/27,34,20,45,134,0.0%
2017,06/24,06/25,06/27,07/03,07/08,07/11,07/18,07/23,08/30,22,9,29,56,0.0%
2016,06/14,06/19,06/22,06/27,07/03,07/13,07/23,07/27,08/23,32,17,39,101,0.0%
2015,06/11,06/21,06/26,07/02,07/12,07/26,08/04,08/10,08/17,40,25,51,141,0.0%
2014,06/24,06/27,07/01,07/05,07/13,07/20,08/01,08/04,08/11,32,16,39,61,0.0%
2013,06/21,07/01,07/02,07/07,07/14,07/22,08/03,08/10,08/15,33,16,41,28,0.0%
