Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,RunSize,'Today'(03/14)Passage%
2023 YTD,,,,,,,,,,,,, (YTD),
Average (2013 - 2022),05/24,06/04,06/09,06/17,06/25,07/03,07/10,07/14,07/27,32.2,16.6,41.3,204.5,0.0%
Median (2013 - 2022),05/25,06/04,06/09,06/18,06/24,07/01,07/08,07/13,07/27,29,13,38.5,211.0,0.0%
2022,05/16,05/31,06/05,06/18,06/26,06/30,07/06,07/09,07/27,32,13,40,469,0.0%
2021,05/17,05/30,06/06,06/14,06/21,07/01,07/08,07/13,07/31,33,18,45,261,0.0%
2020,05/22,06/04,06/06,06/14,06/23,06/30,07/07,07/12,07/28,32,17,39,264,0.0%
2019,05/14,06/02,06/06,06/13,06/19,06/29,07/09,07/12,07/28,34,17,41,292,0.0%
2018,06/01,06/08,06/14,06/19,06/25,07/03,07/15,07/23,08/01,32,15,46,196,0.0%
2017,05/25,06/02,06/09,06/18,06/23,06/29,07/04,07/07,07/24,26,12,36,77,0.0%
2016,05/25,06/03,06/09,06/14,06/21,06/30,07/07,07/11,07/16,29,17,39,133,0.0%
2015,05/25,06/07,06/12,06/20,06/29,07/10,07/16,07/23,08/01,35,21,47,226,0.0%
2014,05/28,06/07,06/10,06/18,06/30,07/08,07/18,07/20,07/27,39,21,44,85,0.0%
2013,06/06,06/11,06/16,06/24,07/01,07/08,07/15,07/16,07/27,30,15,36,42,0.0%
